"order_number","date","month_number","name","category","size","quantity","price","revenue"
"1","2015-01-01","1","The Hawaiian Pizza","Classic","M",1,"13.25","13.25"
"2","2015-01-01","1","The Mexicana Pizza","Veggie","M",1,"16.00","16.00"
"2","2015-01-01","1","The Classic Deluxe Pizza","Classic","M",1,"16.00","16.00"
"2","2015-01-01","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"2","2015-01-01","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"2","2015-01-01","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"3","2015-01-01","1","The Prosciutto and Arugula Pizza","Supreme","L",1,"20.75","20.75"
"3","2015-01-01","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"4","2015-01-01","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"5","2015-01-01","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"6","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","S",1,"12.75","12.75"
"6","2015-01-01","1","The Greek Pizza","Classic","S",1,"12.00","12.00"
"7","2015-01-01","1","The Spinach Supreme Pizza","Supreme","S",1,"12.50","12.50"
"8","2015-01-01","1","The Spinach Supreme Pizza","Supreme","S",1,"12.50","12.50"
"9","2015-01-01","1","The Italian Supreme Pizza","Supreme","L",1,"20.75","20.75"
"9","2015-01-01","1","The Classic Deluxe Pizza","Classic","S",1,"12.00","12.00"
"9","2015-01-01","1","The Mexicana Pizza","Veggie","S",1,"12.00","12.00"
"9","2015-01-01","1","The Spicy Italian Pizza","Supreme","L",1,"20.75","20.75"
"9","2015-01-01","1","The Spinach Pesto Pizza","Veggie","L",1,"20.75","20.75"
"9","2015-01-01","1","The Vegetables + Vegetables Pizza","Veggie","S",1,"12.00","12.00"
"9","2015-01-01","1","The Italian Capocollo Pizza","Classic","L",1,"20.50","20.50"
"9","2015-01-01","1","The Green Garden Pizza","Veggie","S",1,"12.00","12.00"
"9","2015-01-01","1","The Italian Supreme Pizza","Supreme","S",1,"12.50","12.50"
"10","2015-01-01","1","The Southwest Chicken Pizza","Chicken","L",1,"20.75","20.75"
"10","2015-01-01","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"11","2015-01-01","1","The California Chicken Pizza","Chicken","L",1,"20.75","20.75"
"11","2015-01-01","1","The California Chicken Pizza","Chicken","M",1,"16.75","16.75"
"11","2015-01-01","1","The Pepperoni Pizza","Classic","L",1,"15.25","15.25"
"11","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","L",1,"20.75","20.75"
"12","2015-01-01","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"12","2015-01-01","1","The California Chicken Pizza","Chicken","L",1,"20.75","20.75"
"12","2015-01-01","1","The California Chicken Pizza","Chicken","S",1,"12.75","12.75"
"12","2015-01-01","1","The Chicken Pesto Pizza","Chicken","L",1,"20.75","20.75"
"13","2015-01-01","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"14","2015-01-01","1","The Greek Pizza","Classic","S",1,"12.00","12.00"
"15","2015-01-01","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"15","2015-01-01","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"15","2015-01-01","1","The Greek Pizza","Classic","S",1,"12.00","12.00"
"15","2015-01-01","1","The Soppressata Pizza","Supreme","L",1,"20.75","20.75"
"16","2015-01-01","1","The Four Cheese Pizza","Veggie","L",1,"17.95","17.95"
"16","2015-01-01","1","The Napolitana Pizza","Classic","S",1,"12.00","12.00"
"16","2015-01-01","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"17","2015-01-01","1","The Mexicana Pizza","Veggie","L",1,"20.25","20.25"
"17","2015-01-01","1","The Pepper Salami Pizza","Supreme","S",1,"12.50","12.50"
"17","2015-01-01","1","The Spinach and Feta Pizza","Veggie","L",1,"20.25","20.25"
"17","2015-01-01","1","The Mediterranean Pizza","Veggie","M",2,"16.00","32.00"
"17","2015-01-01","1","The Italian Vegetables Pizza","Veggie","S",1,"12.75","12.75"
"17","2015-01-01","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"17","2015-01-01","1","The Four Cheese Pizza","Veggie","M",1,"14.75","14.75"
"17","2015-01-01","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"17","2015-01-01","1","The Calabrese Pizza","Supreme","M",1,"16.25","16.25"
"17","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","L",1,"20.75","20.75"
"18","2015-01-01","1","The Napolitana Pizza","Classic","L",1,"20.50","20.50"
"19","2015-01-01","1","The Sicilian Pizza","Supreme","L",1,"20.25","20.25"
"19","2015-01-01","1","The Italian Capocollo Pizza","Classic","L",1,"20.50","20.50"
"20","2015-01-01","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"20","2015-01-01","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"21","2015-01-01","1","The Italian Capocollo Pizza","Classic","L",1,"20.50","20.50"
"22","2015-01-01","1","The Southwest Chicken Pizza","Chicken","L",1,"20.75","20.75"
"22","2015-01-01","1","The Five Cheese Pizza","Veggie","L",1,"18.50","18.50"
"22","2015-01-01","1","The Italian Capocollo Pizza","Classic","M",1,"16.00","16.00"
"23","2015-01-01","1","The Southwest Chicken Pizza","Chicken","S",1,"12.75","12.75"
"24","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","M",1,"16.75","16.75"
"24","2015-01-01","1","The Prosciutto and Arugula Pizza","Supreme","S",1,"12.50","12.50"
"24","2015-01-01","1","The Pepperoni Pizza","Classic","M",1,"12.50","12.50"
"24","2015-01-01","1","The Italian Capocollo Pizza","Classic","M",1,"16.00","16.00"
"25","2015-01-01","1","The Sicilian Pizza","Supreme","M",1,"16.25","16.25"
"25","2015-01-01","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"26","2015-01-01","1","The Classic Deluxe Pizza","Classic","S",1,"12.00","12.00"
"26","2015-01-01","1","The Vegetables + Vegetables Pizza","Veggie","L",1,"20.25","20.25"
"27","2015-01-01","1","The Spinach and Feta Pizza","Veggie","L",1,"20.25","20.25"
"27","2015-01-01","1","The Classic Deluxe Pizza","Classic","M",1,"16.00","16.00"
"27","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","L",1,"20.75","20.75"
"28","2015-01-01","1","The Chicken Alfredo Pizza","Chicken","S",1,"12.75","12.75"
"29","2015-01-01","1","The Green Garden Pizza","Veggie","S",1,"12.00","12.00"
"30","2015-01-01","1","The Thai Chicken Pizza","Chicken","L",1,"20.75","20.75"
"31","2015-01-01","1","The Pepperoni Pizza","Classic","S",1,"9.75","9.75"
"31","2015-01-01","1","The Mexicana Pizza","Veggie","M",1,"16.00","16.00"
"32","2015-01-01","1","The Big Meat Pizza","Classic","S",1,"12.00","12.00"
"32","2015-01-01","1","The Italian Capocollo Pizza","Classic","L",1,"20.50","20.50"
"32","2015-01-01","1","The Italian Supreme Pizza","Supreme","M",1,"16.50","16.50"
"32","2015-01-01","1","The Green Garden Pizza","Veggie","L",1,"20.25","20.25"
"33","2015-01-01","1","The Green Garden Pizza","Veggie","S",1,"12.00","12.00"
"33","2015-01-01","1","The Barbecue Chicken Pizza","Chicken","L",1,"20.75","20.75"
"34","2015-01-01","1","The Greek Pizza","Classic","S",1,"12.00","12.00"
